Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
NE,PI,TERESINA,AVENIDA JOÃO XXIII,805,NOIVOS,64045000,GASOLINA ADITIVADA,5.59,RAIZEN
NE,PI,TERESINA,AVENIDA JOÃO XXIII,805,NOIVOS,64045000,DIESEL S10,5.99,RAIZEN
NE,PI,TERESINA,AVENIDA JOÃO XXIII,805,NOIVOS,64045000,ETANOL,3.94,RAIZEN
NE,AL,MACEIO,AVENIDA DOUTOR DURVAL DE GOES MONTEIRO,6775,PETROPOLIS,57062280,GASOLINA,5.39,BRANCA
NE,AL,MACEIO,AVENIDA DOUTOR DURVAL DE GOES MONTEIRO,6775,PETROPOLIS,57062280,DIESEL S10,5.49,BRANCA
NE,AL,MACEIO,AVENIDA DOUTOR DURVAL DE GOES MONTEIRO,6775,PETROPOLIS,57062280,ETANOL,3.89,BRANCA
NE,MA,PINHEIRO,PRACA GONCALVES DIAS,855,ALCANTARA,65200000,GASOLINA,5.75,BRANCA
NE,MA,PINHEIRO,PRACA GONCALVES DIAS,855,ALCANTARA,65200000,GASOLINA ADITIVADA,5.75,BRANCA
NE,MA,PINHEIRO,PRACA GONCALVES DIAS,855,ALCANTARA,65200000,DIESEL S10,6.19,BRANCA
NE,MA,PINHEIRO,PRACA GONCALVES DIAS,855,ALCANTARA,65200000,ETANOL,4.85,BRANCA
N,AC,CRUZEIRO DO SUL,AVENIDA COPACABANA,440,COPACABANA,69980000,GASOLINA,7.48,IPIRANGA
N,AC,CRUZEIRO DO SUL,AVENIDA COPACABANA,440,COPACABANA,69980000,GASOLINA ADITIVADA,7.57,IPIRANGA
N,AC,CRUZEIRO DO SUL,AVENIDA COPACABANA,440,COPACABANA,69980000,DIESEL,7.85,IPIRANGA
N,AC,CRUZEIRO DO SUL,AVENIDA COPACABANA,440,COPACABANA,69980000,DIESEL S10,7.87,IPIRANGA
N,AC,CRUZEIRO DO SUL,AVENIDA COPACABANA,440,COPACABANA,69980000,ETANOL,5.79,IPIRANGA
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,247,CENTRO,57480000,GASOLINA ADITIVADA,6.78,VIBRA
